location,city,local,parameter,value,unit
FR15039,Isère,2020-12-22T08:00:00+01:00,pm10,11.7,µg/m³
FR15039,Isère,2020-12-22T08:00:00+01:00,pm25,9.1,µg/m³
FR15039,Isère,2020-12-22T07:00:00+01:00,pm10,18,µg/m³
FR15039,Isère,2020-12-22T07:00:00+01:00,pm25,12.1,µg/m³
FR15039,Isère,2020-12-22T07:00:00+01:00,no2,37.9,µg/m³
FR15039,Isère,2020-12-21T09:00:00+01:00,no2,47.7,µg/m³
FR15039,Isère,2020-12-21T09:00:00+01:00,pm10,23.6,µg/m³
FR15039,Isère,2020-12-21T09:00:00+01:00,pm25,16.6,µg/m³
FR15039,Isère,2020-12-21T08:00:00+01:00,pm25,14,µg/m³
FR15039,Isère,2020-12-21T08:00:00+01:00,pm10,19,µg/m³
FR15039,Isère,2020-12-21T08:00:00+01:00,no2,52.6,µg/m³
FR15039,Isère,2020-12-21T07:00:00+01:00,no2,40.7,µg/m³
FR15039,Isère,2020-12-21T07:00:00+01:00,pm25,17.3,µg/m³
FR15039,Isère,2020-12-21T07:00:00+01:00,pm10,23.5,µg/m³
FR15039,Isère,2020-12-21T06:00:00+01:00,no2,34.7,µg/m³
FR15039,Isère,2020-12-21T06:00:00+01:00,pm10,25.1,µg/m³
FR15039,Isère,2020-12-21T06:00:00+01:00,pm25,18.9,µg/m³
FR15039,Isère,2020-12-21T05:00:00+01:00,pm25,22.3,µg/m³
FR15039,Isère,2020-12-21T05:00:00+01:00,pm10,23.4,µg/m³
FR15039,Isère,2020-12-21T05:00:00+01:00,no2,31.4,µg/m³
FR15039,Isère,2020-12-21T04:00:00+01:00,pm10,22.8,µg/m³
FR15039,Isère,2020-12-21T04:00:00+01:00,pm25,22.6,µg/m³
FR15039,Isère,2020-12-21T04:00:00+01:00,no2,34.4,µg/m³
FR15039,Isère,2020-12-21T03:00:00+01:00,no2,34.6,µg/m³
FR15039,Isère,2020-12-21T03:00:00+01:00,pm10,25.7,µg/m³
FR15039,Isère,2020-12-21T03:00:00+01:00,pm25,27.4,µg/m³
FR15039,Isère,2020-12-21T02:00:00+01:00,no2,35.7,µg/m³
FR15039,Isère,2020-12-21T02:00:00+01:00,pm10,37.9,µg/m³
FR15039,Isère,2020-12-21T02:00:00+01:00,pm25,32.3,µg/m³
FR15039,Isère,2020-12-21T01:00:00+01:00,no2,38.9,µg/m³
FR15039,Isère,2020-12-21T01:00:00+01:00,pm25,35.3,µg/m³
